id,activityType,startTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories,activityMonth,activityDay,activityMonthName,activityDayName,activityLevel,activityMins
193,Cardio,2016-04-30 18:54:00,,,,102.0,149.0,,685.0,4,5,April,Saturday,Very Light,85.23
194,Cardio,2016-04-28 20:26:00,,,,115.0,154.0,,915.0,4,3,April,Thursday,Light,91.1
195,Cardio,2016-04-27 20:07:00,,,,111.0,162.0,,930.0,4,2,April,Wednesday,Very Light,99.2
196,Cardio,2016-04-26 20:28:00,,,,105.0,141.0,,379.0,4,1,April,Tuesday,Very Light,44.48
197,Running,2016-04-26 19:19:00,3.49,,8.46,152.0,175.0,,483.0,4,1,April,Tuesday,Hard,30.35
198,Cardio,2016-04-25 20:50:00,,,,122.0,173.0,,1050.0,4,0,April,Monday,Light,94.11
199,Running,2016-04-24 18:44:00,4.78,105.0,9.47,,,7282.0,636.0,4,6,April,Sunday,Not Recorded,46.44
200,Cardio,2016-04-23 20:37:00,,,,110.0,151.0,,849.0,4,5,April,Saturday,Very Light,91.42
201,Cardio,2016-04-23 08:14:00,,,,85.0,119.0,,328.0,4,5,April,Saturday,Very Light,62.57
202,Running,2016-04-22 19:18:00,4.01,,9.51,137.0,159.0,,532.0,4,4,April,Friday,Moderate,39.3
203,Cardio,2016-04-20 20:39:00,,,,113.0,176.0,,909.0,4,2,April,Wednesday,Very Light,94.01
204,Cardio,2016-04-18 21:07:00,,,,100.0,115.0,,59.0,4,0,April,Monday,Very Light,8.01
205,Cardio,2016-04-18 19:17:00,,,,128.0,177.0,,1288.0,4,0,April,Monday,Light,105.52
206,Cardio,2016-04-16 20:14:00,,,,112.0,168.0,,1107.0,4,5,April,Saturday,Very Light,116.33
207,Cardio,2016-04-16 08:20:00,,,,100.0,152.0,,851.0,4,5,April,Saturday,Very Light,112.03
208,Cardio,2016-04-15 21:07:00,,,,111.0,120.0,,138.0,4,4,April,Friday,Very Light,15.02
209,Running,2016-04-15 20:49:00,1.47,,8.19,149.0,161.0,,185.0,4,4,April,Friday,Moderate,12.15
210,Cardio,2016-04-15 20:32:00,,,,117.0,134.0,,153.0,4,4,April,Friday,Light,15.04
211,Running,2016-04-15 20:18:00,1.45,,8.28,148.0,157.0,,183.0,4,4,April,Friday,Moderate,12.17
212,Cardio,2016-04-13 20:37:00,,,,100.0,149.0,,856.0,4,2,April,Wednesday,Very Light,111.38
213,Cardio,2016-04-12 20:11:00,,,,105.0,140.0,,599.0,4,1,April,Tuesday,Very Light,71.38
214,Cardio,2016-04-12 19:32:00,,,,127.0,138.0,,237.0,4,1,April,Tuesday,Light,20.05
215,Running,2016-04-12 19:12:00,2.24,,8.4,154.0,170.0,,314.0,4,1,April,Tuesday,Hard,19.27
216,Cardio,2016-04-12 18:46:00,,,,127.0,164.0,,237.0,4,1,April,Tuesday,Light,20.04
217,Running,2016-04-12 18:29:00,1.86,,8.54,148.0,167.0,,248.0,4,1,April,Tuesday,Moderate,16.34
218,Cardio,2016-04-11 21:11:00,,,,124.0,171.0,,1138.0,4,0,April,Monday,Light,98.29
219,Cardio,2016-04-09 18:07:00,,,,118.0,171.0,,1213.0,4,5,April,Saturday,Light,115.01
220,Running,2016-04-08 19:38:00,1.43,,10.36,140.0,160.0,,209.0,4,4,April,Friday,Moderate,15.11
221,Cardio,2016-04-08 19:17:00,,,,89.0,130.0,,87.0,4,4,April,Friday,Very Light,15.05
222,Running,2016-04-08 19:04:00,1.44,,8.41,152.0,159.0,,195.0,4,4,April,Friday,Hard,12.33
223,Cardio,2016-04-08 18:47:00,,,,106.0,171.0,,125.0,4,4,April,Friday,Very Light,15.02
224,Running,2016-04-08 18:34:00,1.42,,9.09,151.0,165.0,,205.0,4,4,April,Friday,Moderate,12.57
225,Cardio,2016-04-08 18:17:00,,,,119.0,175.0,,157.0,4,4,April,Friday,Light,15.01
226,Running,2016-04-08 18:02:00,1.54,,9.22,147.0,157.0,,215.0,4,4,April,Friday,Moderate,14.24
227,Cardio,2016-04-08 17:45:00,,,,94.0,151.0,,99.0,4,4,April,Friday,Very Light,15.03
228,Cardio,2016-04-07 21:12:00,,,,120.0,163.0,,1202.0,4,3,April,Thursday,Light,109.4
229,Cardio,2016-04-06 21:34:00,,,,93.0,108.0,,51.0,4,2,April,Wednesday,Very Light,8.04
230,Cardio,2016-04-06 19:51:00,,,,93.0,137.0,,639.0,4,2,April,Wednesday,Very Light,98.3
231,Cardio,2016-04-05 20:18:00,,,,114.0,145.0,,577.0,4,1,April,Tuesday,Light,58.55
232,Strength Training,2016-04-05 18:17:00,,,,120.0,159.0,,884.0,4,1,April,Tuesday,Light,80.53
233,Cardio,2016-04-03 11:46:00,,,,94.0,142.0,,98.0,4,6,April,Sunday,Very Light,14.58
234,Strength Training,2016-04-03 09:58:00,,,,83.0,143.0,,526.0,4,6,April,Sunday,Very Light,107.24
235,Strength Training,2016-03-31 20:16:00,,,,125.0,173.0,,950.0,3,3,March,Thursday,Light,81.34
236,Strength Training,2016-03-30 19:58:00,,,,110.0,171.0,,743.0,3,2,March,Wednesday,Very Light,80.12
237,Cardio,2016-03-29 19:29:00,,,,119.0,132.0,,159.0,3,1,March,Tuesday,Light,15.04
238,Running,2016-03-29 18:55:00,3.83,,8.38,149.0,162.0,,513.0,3,1,March,Tuesday,Moderate,33.02
239,Strength Training,2016-03-26 16:25:00,,,,120.0,160.0,,904.0,3,5,March,Saturday,Light,83.4
