id,activityType,startTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories,activityMonth,activityDay,activityMonthName,activityDayName,activityLevel,activityMins
479,Running,2013-05-21 18:38:00,3.29,155.0,11.56,,,,455.0,5,1,May,Tuesday,Not Recorded,39.13
480,Running,2013-05-14 18:25:00,3.19,,11.34,,,,440.0,5,1,May,Tuesday,Not Recorded,36.56
481,Running,2013-03-23 17:52:00,6.21,,11.17,,,,855.0,3,5,March,Saturday,Not Recorded,70.08
482,Running,2013-03-16 19:08:00,0.63,,11.18,,,,87.0,3,5,March,Saturday,Not Recorded,7.07
483,Running,2013-03-15 18:53:00,3.14,,11.43,,,,433.0,3,4,March,Friday,Not Recorded,36.46
484,Running,2013-03-13 18:52:00,2.58,,11.41,,,,356.0,3,2,March,Wednesday,Not Recorded,30.11
485,Running,2013-03-10 17:51:00,6.46,,12.21,,,,884.0,3,6,March,Sunday,Not Recorded,79.47
486,Running,2013-02-17 07:05:00,6.13,,9.17,,,,818.0,2,6,February,Sunday,Not Recorded,56.55
487,Running,2012-10-31 07:12:00,3.21,,11.55,,,,419.0,10,2,October,Wednesday,Not Recorded,38.18
488,Running,2012-10-15 18:10:00,2.51,,13.05,,,,317.0,10,0,October,Monday,Not Recorded,32.53
489,Running,2012-10-13 17:38:00,3.17,,13.4,,,,392.0,10,5,October,Saturday,Not Recorded,43.21
490,Cycling,2012-10-12 07:11:00,6.29,,10.4,,,,305.0,10,4,October,Friday,Not Recorded,36.09
491,Cycling,2012-10-09 17:50:00,7.28,,8.9,,,,354.0,10,1,October,Tuesday,Not Recorded,49.0
492,Cycling,2012-10-05 17:53:00,7.2,,7.7,,,,352.0,10,4,October,Friday,Not Recorded,56.13
493,Cycling,2012-09-09 18:17:00,7.16,,7.7,,,,248.0,9,6,September,Sunday,Not Recorded,55.51
