id,activityType,startTime,activityTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories
85,Running,"Wed, 12 Oct 2016 7:15 AM",23:23,2.0,,11.43,135.0,168.0,,303.0
86,Strength Training,"Tue, 11 Oct 2016 8:04 AM",1:04:11,,,,128.0,165.0,,762.0
87,Strength Training,"Sun, 9 Oct 2016 6:15 AM",1:11:29,,,,118.0,152.0,,737.0
88,Strength Training,"Thu, 6 Oct 2016 8:32 AM",48:38,,,,124.0,183.0,,548.0
89,Strength Training,"Tue, 4 Oct 2016 7:38 AM",1:21:38,,,,122.0,162.0,,894.0
90,Running,"Mon, 3 Oct 2016 7:57 AM",8:12,0.99,,8.19,159.0,167.0,,137.0
91,Strength Training,"Fri, 30 Sep 2016 8:24 AM",1:04:22,,,,104.0,147.0,,527.0
92,Running,"Wed, 28 Sep 2016 8:31 AM",13:59,1.1,,12.42,136.0,171.0,,183.0
93,Strength Training,"Tue, 27 Sep 2016 8:39 AM",51:18,,,,121.0,156.0,,552.0
94,Running,"Sun, 25 Sep 2016 4:06 AM",48:23,5.89,,8.13,161.0,177.0,,825.0
95,Running,"Wed, 21 Sep 2016 7:55 AM",13:23,1.63,,8.11,143.0,164.0,,191.0
96,Strength Training,"Tue, 20 Sep 2016 7:23 AM",1:15:28,,,,125.0,167.0,,859.0
97,Running,"Sun, 18 Sep 2016 6:57 AM",30:24,2.59,,11.45,157.0,188.0,,502.0
98,Running,"Thu, 15 Sep 2016 3:03 AM",31:12,2.62,,11.53,150.0,184.0,,481.0
99,Strength Training,"Tue, 13 Sep 2016 8:12 AM",1:05:45,,,,123.0,162.0,,735.0
100,Running,"Sat, 10 Sep 2016 6:32 PM",28:55,3.15,164.0,9.1,,,4530.0,412.0
101,Strength Training,"Sat, 10 Sep 2016 6:24 AM",1:06:23,,,,101.0,148.0,,514.0
102,Running,"Thu, 8 Sep 2016 6:59 AM",36:37,2.8,,13.04,142.0,174.0,,515.0
103,Running,"Sun, 4 Sep 2016 6:13 PM",59:23,6.22,253.0,9.32,164.0,177.0,9212.0,827.0
104,Strength Training,"Sat, 3 Sep 2016 6:18 AM",1:05:07,,,,113.0,175.0,,619.0
105,Strength Training,"Thu, 1 Sep 2016 7:43 AM",1:12:10,,,,105.0,145.0,,604.0
106,Cardio,"Wed, 31 Aug 2016 5:42 AM",54:02,,,,123.0,176.0,,598.0
107,Running,"Sun, 28 Aug 2016 7:02 PM",22:55,2.39,85.0,9.34,,,3600.0,314.0
108,Running,"Sat, 27 Aug 2016 3:29 AM",32:12,3.85,,8.22,149.0,174.0,,493.0
109,Cardio,"Wed, 24 Aug 2016 6:29 AM",1:06:42,,,,125.0,165.0,,766.0
110,Running,"Mon, 22 Aug 2016 8:55 AM",12:14,1.24,89.0,9.5,,,1834.0,156.0
111,Running,"Fri, 19 Aug 2016 6:25 PM",8:57,0.79,3.0,11.2,,,1350.0,97.0
112,Cardio,"Fri, 12 Aug 2016 7:42 PM",30:08,,,,125.0,150.0,,344.0
113,Running,"Fri, 12 Aug 2016 6:59 PM",41:27,4.45,,9.19,142.0,163.0,,583.0
114,Cardio,"Thu, 11 Aug 2016 8:26 PM",1:34:33,,,,113.0,157.0,,901.0
115,Running,"Tue, 9 Aug 2016 8:55 PM",39:09,3.91,,10.01,135.0,157.0,,503.0
116,Cardio,"Mon, 8 Aug 2016 9:35 PM",35:19,,,,123.0,175.0,,389.0
117,Cardio,"Mon, 8 Aug 2016 8:36 PM",51:25,,,,108.0,148.0,,452.0
118,Running,"Sat, 6 Aug 2016 8:46 PM",25:24,2.8,,9.05,139.0,156.0,,346.0
119,Cardio,"Sat, 6 Aug 2016 8:22 PM",21:01,,,,111.0,147.0,,194.0
120,Cardio,"Sat, 6 Aug 2016 7:55 PM",23:56,,,,117.0,149.0,,244.0
121,Running,"Sat, 6 Aug 2016 7:31 PM",23:11,2.4,,9.39,134.0,155.0,,299.0
122,Cardio,"Fri, 5 Aug 2016 8:39 PM",1:24:17,,,,121.0,175.0,,926.0
